编号,岗位名称,岗位要求
,,
37,人力资源总监,"职责描述：

1、根据集团发展战略，建立和完善各产业人力资源管理体系和规划；

2、根据产业的经营情况，组织开展人员招聘、绩效考核、薪酬管理及员工发展等体系的建设和管理工作，建立并完善人资管理体系及相关管理制度；

3、向公司决策层提供人力资源、组织机构等方面的建议并致力于提高公司综合管理水平，控制人力资源成本；

4、负责公司的整体企业文化建设。



二、任职资格

1、正规统招本科及以上学历，人力资源管理相关专业，40岁以下优先；

2、职业化程度较高，能适应较强工作压力。"
,,
38,人力资源总监,"【职责描述】

1、组织制定人力资源整体战略规划和组织规划；

2、制定并完善薪酬考核、招聘、培训及人事管理等制度；

3、拟订人力资源成本预算，监督控制预算的执行；

4、指挥、协调和控制公司各部门人力资源薪酬、招聘、培训以及绩效、员工关系等方面的工作；

5、负责工作分析、岗位说明书与定岗定编工作，提出机构设置和岗位职责设计方案，对公司组织结构设计提出改进方案。



【职位要求】

1、本科以上学历，人力资源或管理相关专业，10年以上企业人力资源管理工作经验，5年以上同等职位工作经验；

2、熟悉人力资源管理工作的运作，精通六大模块，有一定的工作实操经验；

3、对人力资源管理事务性的工作有娴熟的处理技巧，具备优秀的组织能力、沟通协调能力；

4、公文写作能力强，熟练使用办公软件。



【其他要求】

1、年龄35岁以上，男女不限；

2、大型企业同等职位经验；

3、中等规模企业的HRD（专业基础较扎实，非常精通某一两个专业职能）；

4、有电力仪表制造行业经验尤佳；

5、执行力突出，专业操作能力强、决断力突出；协作意识强，风格具有亲和力。 "
,,
39,人力资源总监(J11775),"工作职责:

1. 根据公司战略发展方向与规划，统筹负责集团的人力资源规划；监督各项计划的实施；

2. 完善人力资源管理体系，完善设计人力资源管理模式（包含人力三支柱等体系的全面建设）；

3. 向公司管理层提供人力资源、组织等方面的建议，并致力于提高公司综合管理水平；

4. 深入业务，结合业务特点，诊断解决业务问题，通过专业能力及工作方法影响业务策略；

5、识别核心组织能力，搭建核心能力素质模型，调整和优化人才梯队，制定并不断优化人力机制，充分调动全员工作积极性和创造力。

任职资格:

1. 人力资源管理或企业管理等相关专业，本科以上学历；

2. 8年以上人力资源管理经验，3年以上互联网行业企业经验； 

3. 具有丰富的人力资源全盘管理实践经验和落地运营能力，对现代企业人力资源管理模式有系统的了解和实践，对组织发展，人力资源战略规划、人才引进、薪酬福利设计、绩效激励考核、企业文化等有深刻了解；熟悉长期激励及短期激励政策及方式；

4. 具备战略性思维和全局意识，敬业负责，思维敏捷，强烈的成就动机和事业心，有较强的管理能力及解决问题能力，有较强的抗压性及实操能力。"
,,
40,人力资源总监(J11676),"工作职责:
1、为了支撑企业的发展战略、发展阶段和人员素质要求，制定人力资源规划并组织实施；
2、 根据公司战略及需求，制定人员招聘计划、各类招聘方案、并对招聘渠道及招聘过程进行把控；
3、 深入了解和掌握业务进展和人力现状，根据业务的战略发展方向，进行组织诊断，整合内部资源，提供定制化的HR解决方案，形成选育用留闭环管理；
4、 负责员工管理，解决、处理员工冲突，接待员工投诉，制定内部轮岗制度，并控制方案有效的实施；
5、完善人才胜任力模型及人才梯队建设，定期进行人员盘点，打造人才供应链体系，建立来伊份区域人才生态圈，推动组织与人才发展；
6、与来伊份学院共同搭建人才培养体系，建立全面的科学培训系统，提升员工专业能力和职业素养，打造学习型组织；
7、推进公司文化价值观、发展规划与路径、激励政策、制度规范等内容的有效传达，定期跟进过程管理，辅助公司战略目标达成；
8、负责完成上级交办的其它各项工作事务。
任职资格:
1、学历要求：本科学历，专业不限； 
2、经验要求：10年以上人力资源工作经验，其中3年以上大中型食品企业人力资源管理岗位工作经验； 
3、专业要求：了解现代企业人力资源管理模式和实践经验积累，对人力资源管理各个职能模块均有较深入的认识，熟悉国家相关政策和法律法规； 
4、能力素质要求：具备很强的计划性和实施执行的能力，有亲和力，很强的激励、沟通、协调、团队领导和解决复杂问题的能力。"
,,
41,人力资源总监,"职责描述：

1、负责各类激励逻辑方案设计及落地实施；

2、协助/负责集团战略绩效体系的搭建及长期激励计划的具体方案设计

3、协助/负责设计长期激励机制，包括持股架构、初始运转机制、激励股份的动态调整机制及退出机制等；

4    建立完善的激励体系；

5、负责协调激励方案实施过程中出现的各类问题、并对实施结果进行评估。





任职要求：

1、本科及以上学历，金融、经济学、法律、人力等相关专业；

2、6年以上相关工作经验，包括薪酬设计、长期激励、福利管理等相关经历，在股权、跟投等相关领域均有较好的实践积累；

3、具有上市公司股权激励实施落地经验优先"
,,
42,人力资源总监,"岗位职责:
1. 统筹规划集团各版块未来3-5年的人力资源战略和人力资源开发管理工作，督促人力资源战略的执⾏落实;
2. 搭建公司人力资源平台，建立并完善人力资源管理体系，优化人力资源管理各模块的工作，制定和完善人力资源管理制度;
3. 向总经理提供有关人力资源战略、组织建设等方面的建议，并与集团高管团队紧密协作，致力于提高公司的综合管理水平、管理质量、管理效率;
4. 负责建立畅通的沟通渠道和有效的激励机制，指导公司的人力资源工作，塑造、维护、发展和传播企业文化;
5. 负责公司高层次管理人才的甄选和合理的高端人才配备;
6. 进行人力结构分析，提出人力结构优化方案，协助各部门进⾏岗位/机构调整，提高组织管理和运⾏效率。

任职资格:
1. 十年以上传统⾏业人力资源管理经验或者擅长战略性人力资源管理，任职过大型企业HRVP或HRD,具备丰富的业务管理或综合管理经验;
2. 具备制度建设、管理流程改进提升等经验，具有前瞻性战略、策略化思维，有能力建立、整合不同的工作团队;
3. 具备敏锐的洞察力及分析判断能力;
4. 具有解决复杂问题的能力，较强的计划性和实施执⾏能力，较强的激励、沟通、协调、团队领导能力，责任心、事业心强；
5. 了解并能熟练运用现代人力资源管理工具与系统。"
,,
43,HRBP总监/人力资源总监,"工作职责:
1、负责统筹规划区域人力资源工作，制订适应区域发展的中长期人才战略规划及整体人力资源规划，并负责监督实施；                                                      
2、参与公司人资战略制定并给出相关建议；
3、加强人力资源的预测和统筹工作，根据区域的经营状况和市场情况，合理调整组织架构、人员结构和薪酬绩效；                                                           
4、负责核心团队和业务团队核心骨干的培养，完善公司人才储备和梯队建设                                    
5、管理招聘、培训、薪酬福利、员工关系、绩效考核、激励机制等人力资源职能；                                                             6、负责建立有效的激励机制，充分发挥员工的积极性和创造性；                                                                 
7、建设集团企业文化价值体系，传播企业文化，推进员工关怀，营造良好组织氛围。

任职资格:
本科以上学历，人力资源管理、心理学等相关专业；
10年以上人力资源战略、组织管理、组织变革等相关工作经验，有咨询行业经验背景优先；
优秀的体系研究与诊断能力、体系框架设计能力，具有很强的系统思考、逻辑分析能力、项目管理能力和工作推动力。"
,,
44,hr专家/人力总监,"1. 大学本科或以上学历；
2. 5年以上人力资源工作经验，有互联网、人工智能、电商或零售行业HRBP/HRM经验优先考虑；
3. 熟悉人力资源专业体系；在招聘/绩效管理/员工关系/组织发展等某一模块有丰富的经验。
4. 具备较强的逻辑思考能力、学习能力，抗压性能力；
5. 善于沟通，良好的协调能力，责任心强。"
,,
45,准上市汽配行业人力资源总监,"要求制造业背景 有参与上市公司经验的优先 稳定性好
工作地点 重庆南川区为主 还有其他工厂偶尔需要过去 有食宿
职位描述
1.根据公司发展战略，组织制定短、中、长期人力资源工作规划，制定一整套人力资源管理制度并组织实施；
2.建立和完善人力资源管理体系，制订并组织实施人力资源管理制度（包含招聘、培训、绩效、薪酬及员工发展等；
3.全面负责公司人力资源部门日常工作及部门员工的管理、指导、培训及评估；
4.定期向高层决策者提供有关人力资源战略、组织建设、行政管理等方面的专项建议，为公司重大决策提供人力资源信息支持；
5.加强公司人力资源的预测和统筹工作，根据各项目的经营状况和市场情况，合理调整组织机构、人员结构和工资福利待遇；
6.负责公司核心团队和业务团队核心骨干的打造，在公司内部推动核心人才梯队培养计划；
7.负责部门团队管理，擅长各类中高级人才的甄别和选拔，完善公司人才储备和梯队建设；
8.及时处理公司人事行政管理中的重大问题，负责公司的企业文化建设； 9.规范完善公司行政管理系统，制订并完善公司各项行政制度，提供各项行政后勤支持。
职位要求：
1.人力资源、管理或相关专业背景，本科及以上学历；
2.八年以上相关工作经验；需要有制造业背景
3.对人力资源管理模式有系统的了解和实践经验积累，有先进的人力资源理念，能够指导各个职能模块的工作；有集团化管理工作经验优先考虑；
4.具备极强的领导及管理能力，善于沟通，具备出色的组织协调能力及分析判断能力；
5.熟悉国家、地区相关方面的法律法规及政策；
6.具有战略、策略化思维，有能力建立并整合不同的工作团队；
7.具备较强的计划性和实施执行的能力。"
,,
46,hr专家/人力总监,"1. 大学本科或以上学历；
2. 5年以上人力资源工作经验，有互联网、人工智能、电商或零售行业HRBP/HRM经验优先考虑；
3. 熟悉人力资源专业体系；在招聘/绩效管理/员工关系/组织发展等某一模块有丰富的经验。
4. 具备较强的逻辑思考能力、学习能力，抗压性能力；
5. 善于沟通，良好的协调能力，责任心强。"
,,
47,人力资源总监(J13239),"工作职责:
1、根据公司及业务发展战略，制定中长期⼈⼒资源整体战略规划，制定年度⼈⼒资源⼯作规划，并监督实施；
2、参与公司股权激励⽅案的设计，推进实施，协调实施过程中出现的各类问题、疑问及其他事件，并对实施结果进⾏评估和改进
3、负责公司股权激励⽅案的⽇常运营，包括：对接外管局、银⾏、税局，处理员⼯的各类股权激励相关咨询，负责公司股权激励平台的运作和数据库的更新维护；
4、负责完善公司⼈⼒资源相关管理制度和流程，建⽴和完善组织架构、定岗定编、岗位胜任⼒模型和价值评估体系；
5、负责绩效体系建设，具体包括完善各模块业务单元的激励机制和考评体系；
6、负责⼈才梯队建设，具体包括⼈员继任计划、核⼼⼈才引进、⼈才储备，保障⼈才池的合理流动；
7、负责培训体系建设，提升⼈才培养⽅⾯的造⾎能⼒，提升组织能⼒和核⼼竞争⼒；
8、动态监控公司整体及核⼼岗位的薪酬竞争⼒、成本⽀出及岗位价值匹配度；
9、推进企业⽂化建设，规范员⼯⾏为，提升员⼯忠诚度、责任⼼；
10、指导下属开展⼈⼒资源⼯作
任职资格:
1.互联网或乙方咨询公司企业背景，人力资源管理或企业管理等相关专业，本科以上学历； 
2.10年以上人力资源全盘工作经验，3年以上HRD经验； 
3. 具备制定股权激励⽅案的经验和能力，对互联网人力资源管理模式有系统的实践和操盘能力，熟悉短中长期激励政策及方式； 
4. 具备战略性思维和全局意识，敬业负责，思维敏捷，强烈的成就动机和事业心，有较强的管理能力及解决问题能力，有较强的抗压性及实操能力。 
5.海外业务优先，英语可作为工作语言优先"
,,
48,人力资源总监,"岗位职责：
1.主要负责人力资源部门日常管理工作，优化、完善人力资源管控体系和各专业模块，依公司经营发展战略的人才需求，选拔与开发短、中、长期人才资源，并合理调配公司的人力资源为公司可持续发展服务；
2.熟练掌握人力资源管理在公司经营中的各项职能，为公司决策层提供战略规划的参考建议，并致力于提高公司综合管理水平，控制人力资源成本，提升企业竞争力；
3.根据公司战略，制定和调整相对应的人员招聘和人才引进的制度与政策，制定和完善相应的招聘方面的各项制度，整体把控与发展公司的人才引进工作，给公司带来高质量的新鲜血液，帮助公司更好的发展；
4.负责公司薪酬福利、绩效管理及各项激励机制的优化与完善，建立并完善更加合理的薪酬体系与绩效考核体系，并在集团内做好短、中、长期激励的实施工作；
5.负责公司人才梯队建设，根据公司发展战略对现状进行梳理，调整和优化人才梯队，设计集团人才成长通道和晋升通道的方案并指导实施；
6.推动公司企业文化建设和企业文化纲领的贯彻执行，参与统筹管理公司级活动，使企业文化为公司战略提供有力支撑；
7.负责公司员工关系及其与集团总部内部工作关系的协调，及时处理管理过程中的重大人力资源问题与有关劳动纠纷，实现组织能力提升与人员结构优化。

任职要求：
1.专业不限，统招本科及以上学历，年龄40周岁以下，十年以上人力资源相关工作经验，至少5年以上集团化企业总部HR部门管理工作经验。
2.有搭建人力资源体系框架和实施经验，熟悉人力资源管理各模块的工作流程和业务知识，具备较强的实际操作能力和较高的专业理论水平；
3.在组织发展与人才选拔、薪酬福利与绩效考核、员工关系与企业文化等HR专业模块领域中至少要精通2个模块；
4.体健貌端，为人公正，具良好的敬业精神和团队理念，成就导向与较高的人格魅力，具备较强的企业管理能力、组织协调能力和人际沟通能力,在团队管理方面有较强的领导技巧和才能。
5.熟练应用日常电脑办公软件，文案写作能力佳，能承受较大的工作压力。"
,,
49,人力资源总监hrd,"
工作职责 
1、根据公司发展战略和经营计划，协助制定公司人力资源战略规划和年度人力资源计划，并负责推进执行，有快消行业项目经验优先； 
2、建立并完善人力资源管理体系，研究、设计人力资源管理模式； 
3、结合企业战略发展需求，为企业整体运营提供决策支持； 
4、优化绩效管理体系，建设合理的激励及分配模式，提高激励性； 
5、搭建培训体系，创建多渠道、多形式和内容丰富的员工培训； 
6、统筹招聘工作，执行中高级人才招聘，搭建人才梯队，负责内部人才培养和外部人才引进的工作； 
7、根据公司经营情况制定健全的薪酬福利体系，分析行业薪酬福利水平及相关政策； 
8、赋能业务团队与相关职能岗位，提升团队经营、协同、领导、执行等能力。

任职资格 
1、本科以上学历，5年以上人力资源管理经验；
2、熟悉国家相关法律、法规及贵州用工政策； 
3、丰富的团队搭建和管理经验，良好的领导能力与领导艺术，良好的团队协作精神，工作积极主动，勇于担当； 
4、良好的职业操作，较强的适应能力，执行力强。 "
,,
50,人力资源总监,"职责描述：
工作职责 :
1、负责人力资源战略解码和组织诊断，完善适应公司发展的人力资源管理体系（组织、人才、效能与文化），强化人力资源管理的专业性和规范性；
2、依据集团人力资源政策、战略和所在业务单位发展规划，细化所在业务公司的人力资源工作规划和目标，制定策略并组织落地；
3、参与业务公司经营管理及重大问题决策，为业务高层决策者提供人力规划、组织建设、效能管控等方面的建议与意见；
4、制定人才培养计划和招聘策略，构建及完善人才供应链，保障公司人才需求的满足；
5、人力资源团队搭建及团队成员培养，对业务团队进行赋能。
任职资格  :
1、统招本科及以上学历，心理学、人力资源管理、企业管理相关专业；
2、具备8年以上大型企业人力资源全盘管理经验，3年及以上COE从业经验，精通组织/人才/绩效/招聘至少个模块；
3、对组织及人员的变化敏感，具有系统性分析问题与解决问题的能力及较强的专业与人际影响力；
4、具备较强的跨部门沟通协调能力及学习能力，抗压力强，喜欢挑战，持续创新和变革；
5、认可公司文化，工作积极主动，富有责任感，原则性强。"
,,
51,人力总监,"1、根据公司战略规划和经营计划，制定契合的人力资源管理战略规划；
2、依据公司发展战略，组织并推动人力资源管理改革，优化公司薪酬绩效激励机制设计，建立科学的的激励模式；
3、根据公司战略发展布局，引进销售人才，搭建人才梯队，以“销售管理及培养”和“组织能力建设”、“绩效考核机制建设”为核心，驱动公司人才发展和经营；
4、根据公司经营需要，结合实际经营情况，制定并组织实施具有高效激励机制的薪酬绩效激励制度；
6、全面负责人力资源部门的日常工作管理，贯彻企业价值观和企业文化，加强对人才的选、育、用、留、考等人才建设工作，持续提升企业效益和人均效益；
7、完成领导交办的其他临时性工作。
"
,,
52,人力资源总监,"Responsibility:
1. 全面负责公司的人事工作，根据公司的用人需要进行及时的人员招聘；
2. 负责公司的薪酬体系、绩效考核、劳动关系、培训、人力资源规划等人事工作；
3. 负责公司的企业文化建设、人事制度建立及推进；
4. 其他相关的人事工作。

Qualification:
1. 本科以上学历，10年以上企业人事工作经验；有半导体和电子行业相关经验，高科技企业人事工作经验；
2. 熟悉人力资源工作的六大模块，具有良好的人才招聘经验；
3. 熟悉各项国家企业有关的政策，法律法规 企业各项制度制定和执行；
4. 具有企业文化建设的经验，有很强的沟通能力和部门协调能力；"
,,
53,事业部人力资源总监（储备）,"岗位职责：
1、全面负责制定事业部公司整体人力资源战略规划、经营管理、行政管理等全面统筹管理工作；
2、统筹事业部人力资源工作，负责提升业务部门组织发展，人才发展和企业文化落地，确保公司战略在业务部门的落地执行；
3、向事业部单位高层决策者提供人力资源、组织机构等方面的建议并致力于提高公司综合管理水平，控制人力资源成本； 并致力于提高公司的综合管理水平；
4、建立并完善所属事业部人力资源管理体系研究、设计人力资源管理模式（包含组织发展、招聘、绩效、薪酬、员工发展、培训等体系的全面建设），制定并完善人力资源管理制度，并输出标准文件；
5、负责事业部人力资源整体战略规划实施和监控，负责公司的整体组织架构、岗编设置和人工成本总额等，以及组织发展与规划、招聘与配置、绩效、薪酬与福利、员工关系管理等模块的整体统筹工作；
6、负责推动事业部经营理念及企业文化的形成，以及活动规划等落实；
7、完成事业部总裁临时安排其他对外公共事务/其他外联事宜等工作任务；
8、未来职业方向定位-（事业部公司人力资源一把手）或集团总部人力资源中心副总经理岗位（M5级）.

任职要求：
1、全日制本科及以上学历，行政管理/人力资源及相关专业优先；
2、10年以上人力行政管理工作经验，5年以上大型集团化企业人力资源一把手经历岗位经验，有锂电/铅酸电池/冶金钢铁/新能源制造业等相关行业背景同岗经验优先考虑；
3、具备较强的管理能力与领导魄力；对战略型人才引进有较突出的能力，深入理解企业发展不同阶段的战略型人才需求；
4、具有良好的职业道德，踏实稳重，工作细心，责任心强，有较强的沟通、协调能力，有团队协作精神；
5、具备HR体系的战略规划能力，熟知HR各模块工作内容，熟悉国家与地方人力劳动法律法规；
6、较强的忠诚度、执行力和学习能力，能够迅速掌握与公司业务有关的各种知识；优秀的领导力；
7、根据双方深入了解接触后；根据集团人力资源中心总经理意见安排更加合适位置发展培养及储备（事业部公司/集团总部人力资源中心）人力资源负责人岗位（需正式任命后）。

特别说明：
1、年薪制模式+年度超利润分享短期激励+年度股改激励等机制福利/单休模式。
2、前期隶属于集团总部人力资源中心部门；汇报对象：集团人力资源中心总经理
3、天能集团新总部目前在加快建设当中；预计2023年内搬至新能源全球总部（湖州市南太湖区）
4、工作地点；湖州-长兴（集团总部）
5、提供人才公寓住宿/公司食堂/按照社会总工龄年假等福利。"
,,
54,人力资源副总监,"岗位职责：
1、根据集团的业务战略和人力资源规划，制定与推动面向全集团的组织发展、人才管理、激励与考核方案，持续优化、完善全集团人力资源管理体系；
2、推动各专项方案落地与实施，提升人力资源对业务发展的引导和支撑作用。
岗位要求：
1、本科以上学历，具有同岗位5年以上工作经验者优先； 
2、具备良好的国际视野，在人力资源某领域有丰富的实践经验和理论基础，如人才管理、组织发展、激励考核、投资并购服务等； 
3、具备粮油行业多元化集团企业总部或国际知名咨询公司人力资源相关工作经历者优先；
4、具备良好的战略思维和全局观、责任心、事业心"
,,
55,人力资源总监,"职责描述：
1、全面统筹规划公司人力资源开发及战略管理，拟定人力资源规划方案，并监督各项计划的实施；
2、根据公司的发展战略，制定公司人力资源发展规划、组织架构及定岗定编工作，保证人力资源的合理配置，参与招聘体系的建设及相关人力资源优化、创新项目；
3、负责公司核心团队和业务团队核心骨干的打造，在公司内部推动核心人才梯队培养计划；
4、负责公司薪酬和福利管理，建立和优化公司绩效管理体系，组织实施并对各部门绩效考核过程进行监督控制，解决其中出现的问题；
5、负责各类管理信息反馈，处理员工投诉、协调、化解员工及部门冲突及关系的调和工作
6、营造良好的企业文化气氛，提升员工对公司的认同感和满意度。

任职要求：
1、本科及以上学历，人力资源、管理或相关专业；
2、具备极强的领导及管理能力，善于沟通，具备出色的组织协调能力及分析判断能力；
3、熟悉国家、地区相关方面的法律法规及政策；
4、具有战略、策略化思维，有能力建立并整合不同的工作团队。"
,,
56,集团人力资源总监,"一线地产，稳健企业；
负责集团总部某一事业部，HR大BP职能（区域HR负责人，可以给到总监或者高级总监级别），工作地点，阶段性北京总部，未来希望人选有2个地点的地域灵活性，年薪90-150W"
,,
57,人力资源总监,"1、根据公司发展战略，组织制定人力资源战略规划。参与公司重大人事决策。定期组织收集有关人事、招聘、培训、考核、薪酬等方面的信息，为公司重大人事决策提供信息支持。定期组织收集员工想法和建议。
2、根据公司的情况，组织制定公司招聘制度、培训制度、薪酬考核制度、人事档案管理制度、员工手册等规章制度、实施细则和工作程序，并组织实施。
3、负责工作分析、岗位说明书与定岗定编工作，提出机构设置和岗位职责设计方案，对公司组织结构设计提出改进方案。
4、负责建立畅通的沟通渠道和有效的激励机制。
5、制定公司年度人力资源需求计划。组织人员招聘过程，制定公司培训计划，组织人员参加培训，评估培训效果。
6、负责组织公司员工的考核，处理员工针对考核结果的申诉。依据公司工资总额，编制公司年度薪资调整方案，审核公司员工每月的薪酬。负责处理各种与劳动合同相关的事宜。
7、负责将部门工作计划分解到个人，并监督计划完成情况。评价考核下属员工工作完成状况。控制部门预算情况"
,,
58,人力资源总监,"1、统筹规划人力资源开发及人才战略管理，拟定人力资源规划方案，并监督各项计划的实施；
2、建立并完善人力资源管理体系，研究、设计人力资源管理模式；
3、向公司决策层提供人力资源、组织机构等方面的建议，控制人力资源成本；
4、及时处理公司管理过程中的重大人力资源问题，制定和完善人力资源管理制度，建立竞争与激励机制；
5、协助决策层制定公司发展战略，根据整体发展战略方向，推动公司人力资源战略规划的制定与实施，提高集团整体综合管理水平；
6、中高端人才的招聘、配置及工作沟通协调；
7、负责公司高层及核心岗位人员人才盘点及梯队建设工作；
8、负责高管团队建设及领导力提升工作；
7、处理重大人事纠纷及矛盾化解。"
,,
59,人力资源总监,"岗位职责：

1、根据区域发展战略，组织编制并实施区域人力资源规划，负责区域人力资源预算；

2、负责区域人力资源招聘工作，满足区域管理公司及下属医院人才需求；

3、负责区域人才发展选育用留年度计划的制定和实施；

4、制定区域薪酬方案并向总部报批，负责区域管理公司及下属医院薪酬福利的核算、发放；

5、负责区域绩效考核方案的执行，设立一线人员绩效考核机制，提高员工积极性；

6、负责收集一线员工的意见反馈并针对区域的内部情况并制定解决方案，处理区域内劳资纠纷；

7、负责区域团队建设，打造公司企业文化，提升员工凝聚力；

8、负责对接总部人力资源系统及其他项目；

9、完成上级领导交办的其他工作。



任职要求：

1、全日制本科以上学历，5年以上人力资源管理经验；

2、具有1000人以上企业人力资源管理经验，有连锁机构人力资源经验优先；

3、具备良好的业务理解力，沟通能力和人际关系处理能力；

4、具有严谨的逻辑思维能力，较强的数据统计及分析能力； 

5、积极主动，能承受较强的工作压力，责任心强。"
,,
60,人力资源总监,"职责描述：
1、理解所支持业务部门的战略方向, 针对业务部门的业务和组织情况提供建议，促进人力资源在业务部门的有效规划和实施；
2、根据集团人力资源政策及制度，在业务部门推行落地；
3、盘点、分析、诊断组织和人员现状，在招聘、培训、绩效、薪酬、员工关系等方面为业务部门提供有效的解决方案；
4、配合和推动业务部门的创新和变革，提升组织效率，激发组织活力；
5、HRBP团队人员的规划和培养，打造懂业务及执行力强的HRBP。
任职要求：
1、大学统招本科及以上学历，专业不限； 
2、10年以上人力资源工作经验，3年以上人力资源团队管理或BP Head经验，互联网行业经验优先； 
3、熟悉HR各模块的流程及实际操作，能够适应公司快速扩张的工作；
4、具有战略性思维及强沟通协调能力，良好的自我驱动和学习能力，主动推动力强。"
,,
61,人力资源总监,"1、本科及以上学历，人力资源、管理或相关专业；
2、管理经验，五年以上行业企业岗位经验；
3、有战略管理、战略人力资源管理、组织变革管理、管理能力开发等方面的培训；
4、对现代企业人力资源管理模式有系统的了解和实践，熟悉人力资源日常管理工作流程；对人力资源战略规划、人才的引进、薪酬福利设计、绩效激励考核、员工培训、员工职业生涯设计等方面具有丰富的实践经验；
5、熟悉国家、企业关于合同管理、薪金制度、用人机制、保险福利待遇、培训等方面的法律法规及政策；
6、具备优秀沟通、协调能力，具有较强的语言和文字表达能力；
7、具有解决复杂问题的能力，具备独立工作能力及良好的工作推进能力；
8、很强的激励、沟通、协调、团队领导能力，责任心、事业心强，具备良好的管理能力和决策能力；
9、了解相关政策和法律法规，不断完善人员招聘以及福利待遇等方面的问题。"
,,
62,人力资源副总监,"目前人力资源副总监主要招聘方向为：薪酬、招聘、组织发展三个方向

职责描述：

薪酬绩效副总监：

1、根据公司业务战略和人力资源规划，参与制定集团年度薪酬规划及预算；

2、建设与完善集团薪酬体系，协助各事业部梳理、优化薪酬标准；

3、定期实施内外部薪酬调查，确定符合企业定位的薪酬水平，为公司保持整体薪酬外部竞争力提供建议；

4、推动建立员工福利体系；

5、参与构建激励体系总体策略和管理架构，开展中长期激励、短期激励和即时激励的设计；

6、制定绩效管理策略和实施机制，结合战略目标设计绩效管理指标体系和相关流程；

任职资格：

1、统招或本科以上相关专业；10年以上工作经验；

2、熟知薪酬激励管理体系设计方法及管理流程，了解主要地区的相关法律法规和政策；

3、具备较好的沟通协调能力、抗压能力。



组织发展副总监：

1、组织架构管理：根据公司发展战略及人力资源规划，推动组织变革在全公司的落地，指导和配合各区域事业部的组织优化工作，确保组织架构、人数与业务发展相匹配;

2、组织效能管理：洞察业务战略和发展对组织能力的诉求，开展行业组织效能分析，优化公司组织体系设计，对组织管控模式等提出建设性意见;

3、人才发展和管理：对公司人才组织进行定期诊断、盘点和评估，持续优化关键岗位及关键人才的管理体系，包括关键岗位识别、岗位人才素质模型、人才库建设和各层级人才评估系统等。

任职要求：

1、统招全日制本科以上学历，专业不限;5年以上相关工作经验；

2、良好的逻辑思维能力，高度的组织变化及人际敏感度，出色的跨部门沟通协调能力、人际理解能力、分析问题及解决问题的能力。

"
,,
63,人力资源总监,"职位描述
1、全面统筹规划公司人力资源发展战略，开发短、中、长期人力资源，合理调配公司的人力资源；
2、向公司高层提供有关人力资源战略、组织建设等方面的建议，致力于提高公司的综合管理水平；
3、负责组织分析评估人力需求，制定招聘计划、招聘策略及招聘工作流程；
4、负责推动人才管理项目，包括领导力发展模型的建立与持续优化、高潜质人才选拔标准建立、核心人才评价、核心人才激励与培养、人才梯队与继任管理工作；
5、构建和完善适应公司发展需要的人力资源管理体系（招聘规划、培训规划、绩效管理、薪酬福利、员工激励、员工发展、员工关怀和保留等模块），负责对人力资源相关模块工作的管理、执行、监督和完善；
6、负责建立精干高效的培训组织体系，组织完善培训管理制度，提供系统有效、有针对性、可持续提升、前瞻性的培训；监督各部门制定的员工培训工作，审核培训计划，检查落实情况；
7、负责制定适合公司发展的薪酬福利体系和管理制度，建立动态的薪酬管理体系；
8、负责分解公司战略目标，制定有效的绩效管理体系和制度，组织开发与建立考核信息系统，指导各部门开展绩效考核工作，合理运用绩效结果，撰写分析方案；
9、负责员工关系管理，建立员工职业生涯规划平台；
10、组织制定人力资源工作发展规划、计划与预算方案，有效并合理控制人力预算，并监督各项计划的实施；
11、负责部门管理工作及人员工作指导；
12、完成公司领导安排的其它工作。"
,,
64,人力资源总监（上海）,"一、岗位职责：
统筹安踏大货+儿童广州分公司直营及加盟生意的人资全盘工作
1、负责分公司人力资源管理工作；负责团队搭建进行招聘管理工作，积极有效的与团队负责人充分沟通，根据目前和未来职位空缺，进行把控和预测，确立和分解招聘计划，保证紧急职位招聘优先级，确保招聘有效性。在职期间高效的满足业务部门人才需求；
2、深入了解业务部门，知悉项目阶段及团队问题和痛点，进行人才分析，分析目前职位在岗人员的人岗匹配度，高绩效员工人才模型，参与制定员工发展计划和未来团队形态，提出合理化建议并实施；
3、区域人力资源管理工作，员工关系协调，绩效数据分析，各城市项目月指标达成情况，进行相应人事支持工作，高绩效员工维稳，低绩效员工改善方针，新员工学习能力及适应能力跟进；
4、宣贯公司各项人力资源政策及方针，配合业务部门工作，定期向集团反馈关于HR沟通政策、项目和进程的实施有效性。
5、优化和完善行政管理流程、并指导、监督各项行政管理工作的开展。
二、任职要求：
1-零售行业，快消品牌及鞋服品牌背景经验，懂零售终端业务
2-8年以上HRBP工作经验，独立负责过全盘人力资源工作，具备人资团队管理经验
3-零售人特质，生意导向，抗压能力强
"
,,
